name,location,plz,city,rating_average,rating_count,operator
Mensa Blechhammer ,Blechhammer 9a,98574,Schmalkalden,"3,8",3.850,Studierendenwerk Thüringen
Mensa Rendsburg ,Grüner Kamp 11,24783,Rendsburg,,,Studentenwerk Schleswig-Holstein
Mensa Zweibrücken ,Amerikastraße 1,66482,Zweibrücken,"3,5",1.863,Studierendenwerk Kaiserslautern
Bistro Wolfsburg ,Robert-Koch-Platz 8a,38440,Wolfsburg,"3,3",194,Studierendenwerk OstNiedersachsen
Campus Mensa Wismar ,Philipp-Müller-Straße 14a,23966,Wismar,"3,5",4.890,Studierendenwerk Rostock-Wismar
Mensa Witzenhausen ,Steinstraße 19,37213,Witzenhausen,"2,3",1.094,Studierendenwerk Kassel
Schlüters Pizza & More ,Von-Melle-Park 2,20146,Hamburg,"4,2",114,Studierendenwerk Hamburg
Mensa Wildau ,Bahnhofstraße 1,15745,Wildau,"3,4",695,Studierendenwerk Westbrandenburg
Veggie 2.0 ,Hardenbergstraße 34,10623,Berlin,"3,6",40,Studierendenwerk Berlin
Mensa Weingarten ,Doggenriedstraße 28,88250,Weingarten,"3,2",96,Seezeit Studierendenwerk Bodensee
Cafeteria am Horn ,Carl-Alexander-Platz 1,99425,Weimar,,,Studierendenwerk Thüringen
Mensa am Park ,Marienstraße 15b,99423,Weimar,"3,6",5.153,Studierendenwerk Thüringen
Mensa Wernigerode ,Friedrichstraße 57–59,38855,Wernigerode,"3,6",490,Studentenwerk Magdeburg
Mensa Scheffelberg ,Scheffelstraße 39,08066,Zwickau,"3,5",67,Studentenwerk Chemnitz-Zwickau
Mensa Saarbrücken ,Campus,66123,Saarbrücken,"3,7",4.041,Studentenwerk im Saarland
Mensa Hochschule für Musik ,Bismarckstraße 1,66119,Saarbrücken,"3,5",57,Studentenwerk im Saarland
Mensa Hochschule für Musik ,Sedanstraße 15,42275,Wuppertal,"2,8",25,Hochschul-Sozialwerk Wuppertal
Mensa ME 04 ,Gaußstraße 20,42119,Wuppertal,"2,7",116,Hochschul-Sozialwerk Wuppertal
Mensa ME 02 ,Gaußstraße 20,42119,Wuppertal,"3,6",4.334,Hochschul-Sozialwerk Wuppertal
Mensa Campus Freudenberg ,Rainer-Gruenter-Straße 21,42119,Wuppertal,"3,4",353,Hochschul-Sozialwerk Wuppertal
Cafeteria Sport + Design ,Gaußstraße 20,42119,Wuppertal,"3,3",299,Hochschul-Sozialwerk Wuppertal
Mensa Bremerhaven ,An der Karlstadt 10,27568,Bremerhaven,"3,6",6.218,Studierendenwerk Bremen
Cafeteria Bremerhaven ,An der Karlstadt 10,27568,Bremerhaven,"3,6",545,Studierendenwerk Bremen
C@feteria ME 03 ,Gaußstraße 20,42119,Wuppertal,"3,5",356,Hochschul-Sozialwerk Wuppertal
Mensateria Campus Hubland Nord ,Magdalene-Schoch-Straße,97074,Würzburg,"3,6",8.382,Studierendenwerk Würzburg
Mensa Josef-Schneider-Straße ,Josef-Schneider-Straße 9,97080,Würzburg,"3,8",667,Studierendenwerk Würzburg
Mensa Campus Hubland Süd ,Am Hubland 16,97074,Würzburg,"3,6",1.868,Studierendenwerk Würzburg
Mensa am Studentenhaus ,Am Studentenhaus 1,97072,Würzburg,"3,7",5.133,Studierendenwerk Würzburg
Mensa Uni ,Albert-Einstein-Allee 11,89081,Ulm,"3,5",3.173,Studierendenwerk Ulm
Cafeteria Uni West ,Albert-Einstein-Allee 11,89081,Ulm,"3,2",281,Studierendenwerk Ulm
Cafeteria Helmholtzstraße , Helmholtzstraße 16,89081,Ulm,,,Studierendenwerk Ulm
Mensa Hochschule ,Prittwitzstraße 10,89075,Ulm,"3,1",1.266,Studierendenwerk Ulm
Essensausgabe Oberer Eselsberg , Albert-Einstein-Allee 55,89081,Ulm,,,Studierendenwerk Ulm
Cafeteria Oberer Eselsberg ,Albert-Einstein-Allee 55,89081,Ulm,,,Studierendenwerk Ulm
Mensa Röntgenring ,Röntgenring 12,97070,Würzburg,"3,6",1.306,Studierendenwerk Würzburg
Bistro am Haspel ,Paulus-Kirch-Straße 7,42285,Wuppertal,"3,3",305,Hochschul-Sozialwerk Wuppertal
Mensa Ring ,Klosterstraße 9,08056,Zwickau,"3,9",124,Studentenwerk Chemnitz-Zwickau
Cafeteria Scheffelberg ,Scheffelstraße 39,08066,Zwickau,"2,8",25,Studentenwerk Chemnitz-Zwickau
Cafeteria Ring ,Klosterstraße 9,08056,Zwickau,"2,8",39,Studentenwerk Chemnitz-Zwickau
blub im Haus 3 ,Friedrichstraße 57-59,38855,Wernigerode,,,Studentenwerk Magdeburg
Mensa Trossingen ,Schultheiß-Koch-Platz 3,78647,Trossingen,"3,4",257,Studierendenwerk Tübingen-Hohenheim
Mensa Sigmaringen ,Anton-Günther-Straße 51,72488,Sigmaringen,"3,2",189,Studierendenwerk Tübingen-Hohenheim
Mensa Schwenningen ,Karlstraße 19,78054,Schwenningen,"2,7",292,Studierendenwerk Freiburg
Mensa Rottenburg ,Schadenweiler Hof 1,72108,Rottenburg,"2,8",84,Studierendenwerk Tübingen-Hohenheim
Mensa Reutlingen ,Alteburgstraße 150,72762,Reutlingen,"3,0",217,Studierendenwerk Tübingen-Hohenheim
Mensa Ravensburg ,Marienplatz 2,88212,Ravensburg,"3,1",97,Seezeit Studierendenwerk Bodensee
Mensa Offenburg ,Badstraße 24,77652,Offenburg,"3,4",477,Studierendenwerk Freiburg
Mensa Nürtingen ,Neckarsteige 6-10,72622,Nürtingen,"3,2",107,Studierendenwerk Tübingen-Hohenheim
